,e,feat
2678,949,"1.79574872336761, 8.774944360047327, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5780,950,"1.765481794671203, 8.75949785121951, 4.2, 1.049411001837242, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2679,951,"1.5603490011057977, 8.72642294004924, 4.2, 1.0157570517669945, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2681,952,"1.579919413987323, 8.717323782747096, 4.3, 1.0079757916351453, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2682,953,"1.4176610934021179, 8.765874573045854, 4.0, 1.0019453150329622, 0, 0, 0, 0, 0, 0, 0, 0, 0"
343,954,"1.254787510086154, 8.699005885944302, 4.3, 1.1233329730898087, 0, 0, 0, 0, 0, 0, 0, 0, 0"
344,955,"1.7917419736190165, 8.7780316954803, 3.9, 1.0645844590943478, 0, 0, 0, 0, 0, 0, 0, 0, 0"
345,956,"1.7744077832224407, 8.75413817970093, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5783,957,"1.5851793019385845, 8.71576223786288, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9277,958,"1.7940345821536994, 8.770297798930274, 4.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13050,959,"1.8657633104855114, 8.774089435544896, 4.2, 1.0029179725494435, 0, 0, 0, 0, 0, 0, 0, 0, 0"
346,960,"1.813857738146738, 8.771559075975137, 4.2, 1.491775640332865, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2688,961,"1.7926140884587989, 8.77408651160709, 3.6, 1.0132281422241436, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5788,962,"1.8355623643362557, 8.768133293182263, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2689,963,"1.7914020402312563, 8.761785230933967, 3.4, 1.0033070355560358, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2690,964,"1.7949864645645501, 8.774844815239259, 4.0, 1.0015562520263699, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13056,965,"1.5701076846303588, 8.715556034786108, 4.4, 1.0035015670593321, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2691,966,"1.765981316220416, 8.75145696613726, 4.3, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
349,967,"1.7760420508266384, 8.769090399647753, 4.1, 1.0058359450988867, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2693,968,"1.5648347539257035, 8.724278789646522, 4.4, 1.0019453150329622, 0, 0, 0, 0, 0, 0, 0, 0, 0"
350,969,"1.080024396664629, 8.32316268316981, 4.0, 1.1038798227601858, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5793,970,"1.7948508941562986, 8.774847620723296, 4.1, 1.018869555819734, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5795,971,"1.3441761265141432, 8.700296807603833, 4.1, 1.0344320760834325, 0, 0, 0, 0, 0, 0, 0, 0, 0"
351,972,"1.5981958372780083, 8.725409486995451, 4.2, 2.1434561763752296, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13060,973,"1.7421798553454382, 8.742121568375913, 3.8, 1.0151734572571058, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5796,974,"1.5687962516823362, 8.723509500985742, 5.0, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13062,975,"1.7844636930702924, 8.776268772951855, 4.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9288,976,"1.783142053902643, 8.776537906152798, 4.2, 1.013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
353,977,"1.299933224813973, 8.699950517357442, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
354,978,"1.2560131047506564, 8.696613288109615, 4.0, 1.2285745163730681, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2696,979,"1.7518093837997997, 8.743937564427942, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2697,980,"1.5180859999747813, 8.723385417543957, 4.4, 1.08870636550308, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5797,981,"1.7982596389636853, 8.773549504555815, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13065,982,"1.757064765108625, 8.77674564289418, 4.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
355,983,"1.3902189546924175, 8.707621415204796, 4.3, 1.22332216578407, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5798,984,"1.7979874907800513, 8.778624057848843, 3.8, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5799,985,"1.7927735440719434, 8.769583111223278, 4.0, 1.4162974170539284, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2699,986,"1.5525346686944905, 8.714750480568332, 4.5, 1.0692532151734573, 0, 0, 0, 0, 0, 0, 0, 0, 0"
356,987,"1.7764496368702165, 8.758905769399371, 3.9, 1.039100832162542, 0, 0, 0, 0, 0, 0, 0, 0, 0"
357,988,"1.7954226545327474, 8.77397842565873, 3.7, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9298,989,"1.8043192703791853, 8.77805693860223, 4.2, 1.0840376094239705, 0, 0, 0, 0, 0, 0, 0, 0, 0"
358,990,"1.7872394401834635, 8.771474132152884, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9300,991,"1.7815196626267396, 8.766858412657022, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2703,992,"1.7962615527668317, 8.780122186324988, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5805,993,"1.7826754573528527, 8.76905746326515, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
359,994,"1.8057492280231973, 8.757383918997084, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
360,995,"1.7686373191931741, 8.756159200526438, 3.7, 1.017118772290068, 0, 0, 0, 0, 0, 0, 0, 0, 0"
361,996,"1.610609092253613, 8.72530317161924, 4.2, 1.1900572787204151, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13081,997,"1.1977907042617613, 8.751858655341781, 3.9, 1.0250945639252134, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13082,998,"1.5637976429535474, 8.723931140298976, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
362,999,"1.8125091916727962, 8.778356202701739, 4.3, 1.403069274829785, 0, 0, 0, 0, 0, 0, 0, 0, 0"
364,1000,"1.5650806310349195, 8.724352692330484, 4.0, 1.0287906624878418, 0, 0, 0, 0, 0, 0, 0, 0, 0"
365,1001,"1.1830233383370912, 8.701052686050911, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5811,1002,"1.2618239164845289, 8.692819949501343, 2.8, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2710,1003,"1.8093034048328658, 8.783822258175027, 3.9, 1.011088295687885, 0, 0, 0, 0, 0, 0, 0, 0, 0"
366,1004,"1.4792003031927674, 8.734144517407133, 4.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5813,1005,"1.786178735612686, 8.770141371374741, 3.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
367,1006,"1.264457571812751, 8.693964742848959, 4.6, 1.6759969739543932, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5816,1007,"1.8198341557351947, 8.779774811291437, 4.4, 1.0422133362152814, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9312,1008,"1.5762442205734963, 8.724793465044856, 3.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
369,1009,"1.763185236196974, 8.761350711331795, 4.2, 1.0035015670593321, 0, 0, 0, 0, 0, 0, 0, 0, 0"
370,1010,"1.3907926502741477, 8.7082954607997, 3.9, 1.0396844266724306, 0, 0, 0, 0, 0, 0, 0, 0, 0"
371,1011,"1.8480961057227923, 8.77995297199665, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2715,1012,"1.7908815760495598, 8.76075646617174, 4.1, 1.0723657192261968, 0, 0, 0, 0, 0, 0, 0, 0, 0"
373,1013,"1.7931762523378323, 8.763420179749426, 4.2, 1.2686480060520913, 0, 0, 0, 0, 0, 0, 0, 0, 0"
374,1014,"1.7942970278012744, 8.762282319064587, 3.9, 1.5322381930184805, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2720,1015,"1.7294354416799873, 8.789853942871185, 4.0, 1.1735221009402357, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5825,1016,"1.6867280590954081, 8.796260558688553, 3.9, 1.1087431103425915, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2721,1017,"1.348096746372942, 8.700727324715443, 4.1, 1.01186642170107, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2722,1018,"1.6021311965085294, 8.729903529531395, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13092,1019,"1.200040632241639, 8.75201189711433, 4.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
377,1020,"1.0762143220937475, 8.315494509759176, 4.3, 1.9125472819626066, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13093,1021,"1.1986775054539436, 8.752047931998192, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2723,1022,"1.8108548827646018, 8.769951209432254, 4.2, 1.0243164379120286, 0, 0, 0, 0, 0, 0, 0, 0, 0"
378,1023,"1.763540041504764, 8.757663326504014, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
379,1024,"1.2595395524545303, 8.695157410223077, 4.6, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
380,1025,"1.7946020744746702, 8.776817407175864, 4.0, 1.0453258402680212, 0, 0, 0, 0, 0, 0, 0, 0, 0"
381,1026,"1.5731622073425067, 8.722874202242604, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9322,1027,"1.569385985609193, 8.722370187683612, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13098,1028,"1.8058074962588906, 8.774977645556833, 4.6, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
382,1029,"1.6013493205560518, 8.716595753404897, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2728,1030,"3.3501053392322495, 7.7695340678987375, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2729,1031,"1.785942455000888, 8.763723041102914, 4.0, 1.0237328434021398, 0, 0, 0, 0, 0, 0, 0, 0, 0"
383,1032,"1.5721133525903639, 8.721324702236522, 3.9, 1.04435318275154, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5832,1033,"1.8014383064200308, 8.7621546196656, 4.0, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13102,1034,"1.8071434771533426, 8.778166202853885, 3.9, 1.0023343780395548, 0, 0, 0, 0, 0, 0, 0, 0, 0"
384,1035,"1.7897784825302532, 8.773525358689863, 4.3, 1.0645844590943478, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9326,1036,"1.5649280414240678, 8.719938874169204, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
385,1037,"1.8638037693362914, 8.773352515935503, 3.9, 1.0311250405273966, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9327,1038,"1.729006647907311, 8.790005320555451, 4.1, 1.0070031341186643, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13104,1039,"1.7462682283413926, 8.743720999763456, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
387,1040,"1.0717702954808397, 8.314719285941054, 4.2, 1.006030476602183, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5833,1041,"1.8092734224058553, 8.776422912479298, 3.7, 1.0719766562196045, 0, 0, 0, 0, 0, 0, 0, 0, 0"
388,1042,"1.8044775065479088, 8.778124126827729, 4.2, 1.204647141467632, 0, 0, 0, 0, 0, 0, 0, 0, 0"
389,1043,"1.5925070495154259, 8.724544338062307, 3.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
390,1044,"1.767327344276528, 8.756965116339932, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
391,1045,"1.8151093652987074, 8.767232371210431, 5.0, 1.0021398465362585, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2736,1046,"1.791278134074009, 8.768508018567976, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
392,1047,"1.7637813854618845, 8.760589714434948, 4.2, 1.481465470658165, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2740,1048,"1.7763252800487255, 8.76487967359317, 4.4, 1.2910191289311574, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13109,1049,"1.8140171407405612, 8.780270415632724, 3.9, 1.0066140711120717, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9334,1050,"1.519546761845306, 8.716094176499814, 3.5, 1.0260672214416946, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5839,1051,"1.5217265717708566, 8.780935440037844, 4.5, 1.0093375121582189, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13110,1052,"1.807536005709263, 8.769135131532135, 3.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2741,1053,"1.801284205758484, 8.771721781580508, 4.1, 1.6604344536906948, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13114,1054,"1.262578036821549, 8.694330278715848, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5843,1055,"1.7902878921831578, 8.77154175678701, 3.8, 1.0033070355560358, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9339,1056,"1.786835114828233, 8.768791123079428, 4.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9340,1057,"1.8099080902087374, 8.78122835127461, 4.2, 1.041824273208689, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5844,1058,"1.558877449803095, 8.725123570765554, 4.2, 1.0334594185669512, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5845,1059,"1.7452133558961194, 8.741059038054692, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5846,1060,"1.8705807256788285, 8.774675950037825, 3.8, 1.1579595806765373, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2744,1061,"1.59734816434601, 8.72479751117628, 4.2, 1.0169242407867718, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13121,1062,"1.7908741268347157, 8.77127509864643, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
395,1063,"1.8078700009328754, 8.760339882964184, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13123,1064,"1.4939266851809556, 8.738363217270797, 3.9, 1.0054468820922944, 0, 0, 0, 0, 0, 0, 0, 0, 0"
396,1065,"1.7995017226375607, 8.78216555750666, 4.2, 1.0241219064087324, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13124,1066,"1.8148723424163897, 8.77481397985248, 3.4, 1.0021398465362585, 0, 0, 0, 0, 0, 0, 0, 0, 0"
397,1067,"1.5661557038421572, 8.720136112165873, 3.9, 1.0225656543823625, 0, 0, 0, 0, 0, 0, 0, 0, 0"
398,1068,"1.8022042765756865, 8.777087774789784, 3.5, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5852,1069,"1.7720995604972076, 8.75189083112649, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5853,1070,"1.8113576384925016, 8.771774693009458, 3.8, 1.0046687560791094, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9347,1071,"1.809141987504777, 8.777465486457396, 4.8, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9348,1072,"1.5718411513874075, 8.725388046862994, 4.2, 1.0044742245758131, 0, 0, 0, 0, 0, 0, 0, 0, 0"
399,1073,"1.791117485526101, 8.76382155099909, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5855,1074,"1.1644001156563508, 8.697661965574099, 3.9, 1.0208148708526965, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9350,1075,"1.7235419728219572, 8.748610715299261, 3.9, 1.004279693072517, 0, 0, 0, 0, 0, 0, 0, 0, 0"
400,1076,"1.7873462210994653, 8.769042263776077, 4.1, 1.238690154544472, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2749,1077,"1.812749846378722, 8.783205020514684, 4.1, 1.0083648546417379, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5857,1078,"1.8113416001473723, 8.77976460556395, 4.0, 1.1079649843294066, 0, 0, 0, 0, 0, 0, 0, 0, 0"
402,1079,"1.7897824059601355, 8.75166487744209, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
403,1080,"1.7699777537107364, 8.753345798789317, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
404,1081,"1.8162619788654562, 8.760529352887275, 4.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5859,1082,"1.5665798319144324, 8.722515256146, 3.7, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2752,1083,"1.8098160751741181, 8.772048290047227, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
405,1084,"1.80281248773652, 8.768757906148421, 4.3, 1.0898735545228575, 0, 0, 0, 0, 0, 0, 0, 0, 0"
406,1085,"1.8138906101268377, 8.76958764987301, 4.5, 1.7366908029828165, 0, 0, 0, 0, 0, 0, 0, 0, 0"
410,1086,"1.5626269232880832, 8.723592979721888, 4.0, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2759,1087,"1.0811207302202845, 8.320587055556501, 3.7, 1.036766454122987, 0, 0, 0, 0, 0, 0, 0, 0, 0"
411,1088,"1.7817971392523093, 8.773405870007492, 3.2, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
412,1089,"1.7855224359261266, 8.773245084600084, 4.0, 1.0208148708526965, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9359,1090,"1.4511261741559807, 8.713727177148368, 4.6, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
413,1091,"1.4495937301611068, 8.69328636433982, 4.4, 1.0015562520263699, 0, 0, 0, 0, 0, 0, 0, 0, 0"
414,1092,"1.5460621758128, 8.723746458401978, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13144,1093,"1.8023832167899405, 8.768453373973331, 3.4, 1.001750783529666, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2763,1094,"1.805697666731831, 8.776003311817798, 4.1, 1.0649735221009402, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2764,1095,"1.8250178814293365, 8.77613814961506, 4.5, 2.2405273965200476, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2767,1096,"1.8077262125295999, 8.761504034151661, 4.2, 1.0739219712525667, 0, 0, 0, 0, 0, 0, 0, 0, 0"
415,1097,"1.211657643028306, 8.698842176599088, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9365,1098,"1.799251020769976, 8.755986862759205, 2.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2768,1099,"1.7868846613853355, 8.749425321878864, 4.2, 1.0266508159515833, 0, 0, 0, 0, 0, 0, 0, 0, 0"
416,1100,"1.2649618651010108, 8.69367998621913, 4.2, 3.002896357937966, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2772,1101,"1.8077726574563213, 8.760489758155888, 4.2, 1.0369609856262834, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5872,1102,"1.579709908133509, 8.722060468480256, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5873,1103,"1.14966657605959, 8.70219874498355, 3.9, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9370,1104,"1.833951266176097, 8.7758530251551, 4.3, 1.1089376418458878, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5874,1105,"1.7842649501389944, 8.776659414783678, 4.5, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2773,1106,"1.7132076850200502, 8.737156061130225, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13155,1107,"1.826975778979551, 8.771805378770424, 3.7, 1.004279693072517, 0, 0, 0, 0, 0, 0, 0, 0, 0"
418,1108,"1.775503321488257, 8.766392010287362, 3.9, 1.0079757916351453, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2775,1109,"1.0732812401403402, 8.31436653061256, 3.9, 1.0122554847076624, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5877,1110,"1.835462581970856, 8.77659155324201, 4.1, 1.025483626931806, 0, 0, 0, 0, 0, 0, 0, 0, 0"
419,1111,"1.5949377733858539, 8.722657581468438, 4.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2777,1112,"1.8092667949905126, 8.772804205900762, 4.6, 3.561201772398141, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2778,1113,"1.837040808150915, 8.769621259571782, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
420,1114,"1.8056746298360995, 8.782291592318455, 1.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2779,1115,"1.5973686563142495, 8.724837311643162, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5881,1116,"1.7775603121526773, 8.76617979724034, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9376,1117,"1.8280427928497325, 8.774977552040697, 4.3, 1.0231492488922511, 0, 0, 0, 0, 0, 0, 0, 0, 0"
421,1118,"1.8088731265191509, 8.800523204901063, 4.0, 1.0282070679779531, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5882,1119,"1.8303088121940627, 8.790159341629122, 4.0, 1.0772290068086026, 0, 0, 0, 0, 0, 0, 0, 0, 0"
422,1120,"1.7891867868884521, 8.769478235995539, 4.0, 1.0704204041932346, 0, 0, 0, 0, 0, 0, 0, 0, 0"
423,1121,"1.7844693926474875, 8.761234021899051, 4.0, 1.4022911488165999, 0, 0, 0, 0, 0, 0, 0, 0, 0"
425,1122,"1.8051721126951508, 8.781832883209468, 3.7, 1.0114773586944774, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2783,1123,"1.3504859030943397, 8.762905167693008, 4.3, 1.0073921971252566, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2784,1124,"1.861770451799475, 8.77230534719799, 4.2, 1.917799632551605, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13162,1125,"1.5764589753402625, 8.726024567550292, 3.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13163,1126,"1.8002959255825735, 8.777245043990531, 4.0, 1.3659137577002054, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2786,1127,"1.787063203954669, 8.767523299905143, 4.3, 1.1437587809359127, 0, 0, 0, 0, 0, 0, 0, 0, 0"
426,1128,"1.2091832312359392, 8.750667552804314, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5885,1129,"1.7764746089712284, 8.760157526501732, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2787,1130,"1.567037468198679, 8.725540259958063, 4.0, 1.0466875607910948, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9381,1131,"1.698560593429021, 8.79212919666019, 4.4, 1.0153679887604021, 0, 0, 0, 0, 0, 0, 0, 0, 0"
427,1132,"1.0828458464340036, 8.316586185942345, 4.0, 1.0237328434021398, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5886,1133,"1.4000187016824421, 8.707996047074376, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13167,1134,"1.8156087012802908, 8.77916973072859, 3.9, 1.0151734572571058, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5887,1135,"1.80449145062979, 8.781742340887957, 4.0, 1.0062250081054793, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13169,1136,"1.7673284576823054, 8.745478891123858, 4.0, 1.02217659137577, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9383,1137,"1.7871975814281589, 8.776734227691351, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2789,1138,"1.5897366838635136, 8.725822522824304, 4.9, 1.0031125040527396, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9384,1139,"1.1669965249103464, 8.700817923146635, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5888,1140,"1.5999075396030706, 8.73099364087791, 3.3, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5889,1141,"1.5474314528419333, 8.713680144767077, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
428,1142,"1.8142991240085644, 8.772679898020254, 3.8, 1.0515508483735005, 0, 0, 0, 0, 0, 0, 0, 0, 0"
430,1143,"1.5943806463424819, 8.718088040239834, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2792,1144,"1.7391700279223619, 8.744006959634216, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2793,1145,"1.5595750515420725, 8.723368322794554, 3.6, 1.001750783529666, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13176,1146,"1.8100593278268589, 8.777043061608632, 4.1, 1.6668539932994704, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2794,1147,"1.7923307797077284, 8.774308550082653, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2795,1148,"1.8070922604875737, 8.77783135898237, 4.2, 1.0317086350372853, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2796,1149,"1.7092106378075194, 8.734730452100026, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
9392,1150,"1.4151449023834308, 8.65373486858028, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13181,1151,"1.8324057529181665, 8.772607204811631, 4.2, 1.0529125688965741, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5896,1152,"1.6172448051203663, 8.721165556478676, 4.0, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13183,1153,"1.7891070193173872, 8.756538146607026, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2797,1154,"1.8123374885960963, 8.781016231743722, 3.9, 1.020425807846104, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5898,1155,"1.7944708516508836, 8.774782196835538, 4.5, 1.0070031341186643, 0, 0, 0, 0, 0, 0, 0, 0, 0"
431,1156,"1.82034629588322, 8.775088349956961, 4.3, 1.6479844374797363, 0, 0, 0, 0, 0, 0, 0, 0, 0"
13188,1157,"1.8162144470426176, 8.774902128160946, 4.5, 1.0033070355560358, 0, 0, 0, 0, 0, 0, 0, 0, 0"
433,1158,"1.8135149682252107, 8.780001232556508, 4.6, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5902,1159,"1.8030243529501977, 8.774943699199975, 4.6, 1.0101156381714038, 0, 0, 0, 0, 0, 0, 0, 0, 0"
434,1160,"1.8048025680156394, 8.76115738230955, 4.6, 1.004279693072517, 0, 0, 0, 0, 0, 0, 0, 0, 0"
