,e,feat
2256,48,"1.8049980502585896, 8.77051053566765, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8672,49,"1.8357033427154272, 8.768086796960143, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12412,50,"1.3880802347419916, 8.707851396317391, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
14,51,"1.822996413711154, 8.792987986496183, 4.8, 1.0019453150329622, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2258,52,"1.7986311188484763, 8.780328832044798, 3.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5264,53,"1.7400149968689007, 8.741298601453877, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5265,54,"1.1817600469341185, 8.699031952008218, 3.9, 1.0713930617097158, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5266,55,"1.5800797444192956, 8.718821693018928, 3.7, 1.0252890954285097, 0, 0, 0, 0, 0, 0, 0, 0, 0"
15,56,"1.8549983467249689, 8.772513613864133, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8676,57,"1.4124841541812874, 8.7067268398613, 4.2, 1.0482438128174647, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5267,58,"1.775890548111903, 8.757675963651003, 4.2, 1.8065276126661622, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12416,59,"1.5479327240287972, 8.713610001431725, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
16,60,"1.0827570125587487, 8.318369694489217, 3.7, 1.3464606073705825, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2260,61,"1.8121688076207922, 8.772024225228593, 4.4, 1.7082892035015669, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8677,62,"1.5667378560058642, 8.72045092488136, 4.1, 1.004279693072517, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2262,63,"1.8156575585861976, 8.784854090266467, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12420,64,"1.8259615193354977, 8.774224659875514, 4.3, 1.3147519723332972, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5272,65,"1.856729056477235, 8.771283546270588, 4.6, 1.007586728628553, 0, 0, 0, 0, 0, 0, 0, 0, 0"
17,66,"1.1306918617787325, 8.315474534712827, 3.6, 1.0062250081054793, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2264,67,"1.7479125431072502, 8.757451144629037, 4.2, 1.0083648546417379, 0, 0, 0, 0, 0, 0, 0, 0, 0"
