,e,feat
5477,82,"1.795091177726964, 8.771510684492691, 5.0, 1.0006954102920724"
5478,83,"1.535857361197026, 8.780645035033485, 0.0, 1.0"
2340,84,"1.1226165417512277, 8.70872429462089, 2.4, 1.2232267037552156"
27,85,"1.5757541629733929, 8.725090858821673, 4.2, 1.0319888734353269"
3853,86,"1.569606439953156, 8.726005178538387, 5.0, 1.0006954102920724"
28,87,"1.2842933464045991, 8.698651759045834, 3.9, 1.1460361613351877"
29,88,"1.8080527850480284, 8.750387646544667, 0.0, 1.0"
30,89,"1.8042428960447756, 8.777119582744364, 4.6, 1.0166898470097356"
5481,90,"1.7896433627862445, 8.762257225568474, 5.0, 1.0006954102920724"
2342,91,"1.5704183778616274, 8.723044956469957, 4.9, 1.0319888734353269"
1059,92,"1.8138906366364997, 8.784056060980323, 0.0, 1.0"
1060,93,"1.5932835705163049, 8.715535118344004, 3.6, 1.1863699582753824"
3858,94,"1.1736331391055872, 8.700432324951672, 3.0, 1.456884561891516"
5485,95,"1.730367865999388, 8.789803487799368, 0.0, 1.0"
5486,96,"1.5502108317787116, 8.714243479727443, 4.1, 1.0917941585535467"
2345,97,"1.0751627368464831, 8.314837278365273, 0.0, 1.0"
3859,98,"1.2691558790975286, 8.69257327264152, 5.0, 1.0048678720445063"
2346,99,"1.803456672507835, 8.775851067550683, 4.9, 1.3845618915159945"
1061,100,"1.5842029511102904, 8.71561288012712, 4.7, 1.004172461752434"
2348,101,"1.3929361949829406, 8.708084444759201, 4.6, 1.0312934631432544"
31,102,"1.5675141649294497, 8.719821006433165, 4.6, 1.170375521557719"
2350,103,"1.8069215647780066, 8.779359393918359, 0.0, 1.0"
32,104,"1.80353315288089, 8.760611883993255, 0.0, 1.0"
33,105,"1.8202884252924472, 8.775707115047503, 0.0, 1.0"
34,106,"1.566730592358649, 8.722653211147747, 2.9, 1.698191933240612"
35,107,"1.785493222279296, 8.750571605250226, 0.0, 1.0"
2354,108,"1.1711087300918743, 8.69900798070572, 5.0, 1.0006954102920724"
36,109,"1.5736516817300608, 8.723764912252536, 4.3, 2.1752433936022255"
38,110,"1.1502663306384466, 8.702383751069814, 3.2, 1.1022253129346313"
2357,111,"1.5698311888622571, 8.72009656730976, 4.1, 1.2315716272600834"
1067,112,"1.7440517025348425, 8.741579299483465, 4.4, 1.1265646731571628"
