,e,feat
3206,3,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
6995,3,"6.375662036666938, 6.515486040121004, 4.0, 1.000561412263739"
15345,3,"5.490630436520007, 6.566612987577855, 4.0, 1.002807061318695"
11100,4,"2.3667674504098954, 9.23056535826504, 4.3, 1.00561412263739"
11101,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
6996,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
15353,5,"6.3781029682079975, 5.952946540478251, 4.0, 1.001122824527478"
15354,6,"5.080129277688002, 6.737834382614665, 2.5, 1.001122824527478"
3209,8,"2.3144836404902662, 9.354585855700634, 3.0, 1.002245649054956"
1,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
6997,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
3210,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
15355,10,"6.626693604846366, 4.907477563385328, 0.0, 1.0"
11103,11,"4.081323338075151, 5.68698813981905, 4.4, 1.0134738943297361"
11104,11,"4.917539759921851, 7.203611715140823, 0.0, 1.0"
2,11,"5.714609209916318, 5.5037130686005185, 4.5, 1.001122824527478"
3,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15356,11,"4.809981107044052, 5.827199300582151, 4.7, 1.00561412263739"
11102,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15358,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15357,11,"3.3099613509580763, 6.171946866695407, 0.0, 1.0"
3211,11,"5.1079289676005715, 6.2721543428688165, 0.0, 1.0"
15359,12,"5.620209261064815, 5.552530334498897, 4.0, 1.000561412263739"
3212,13,"3.8726208142191467, 7.695591056367903, 0.0, 1.0"
11105,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
15360,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
6998,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
4,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
3213,14,"6.139033230503571, 4.647892248653989, 5.0, 1.000561412263739"
15361,15,"7.622545338299005, 5.055840878065965, 0.0, 1.0"
3214,16,"1.5929300065532175, 7.112733717289984, 4.7, 1.0123510698022582"
6999,17,"5.192454709652566, 4.8230609507929785, 3.9, 1.0162809556484311"
15362,17,"5.192454709652566, 4.8230609507929785, 3.9, 1.0162809556484311"
11106,18,"5.780117321739624, 5.503192266068709, 4.1, 1.0662466471212027"
15363,18,"5.780117321739624, 5.503192266068709, 4.1, 1.0662466471212027"
15364,19,"6.532702204178122, 5.764281939761759, 0.0, 1.0"
11109,19,"6.5861138372520145, 5.760230799187866, 0.0, 1.0"
11108,19,"4.718138324568713, 6.541457489459162, 2.8, 1.002807061318695"
15366,19,"5.093132618320624, 5.233287375893497, 2.0, 1.000561412263739"
15367,19,"4.718138324568713, 6.541457489459162, 2.8, 1.002807061318695"
11107,19,"4.245402042740807, 3.551347832046986, 0.0, 1.0"
7000,19,"6.226169077569693, 5.694569618435025, 3.0, 1.000561412263739"
15368,19,"5.917185812700666, 5.843626246376289, 4.4, 1.0095440084835632"
15369,19,"5.262302638939843, 5.674408755587137, 3.8, 1.002807061318695"
7001,19,"4.718138324568713, 6.541457489459162, 2.8, 1.002807061318695"
15365,19,"6.064904176589948, 5.700935346085544, 4.4, 1.002807061318695"
15370,20,"6.2516705400955175, 5.879022831644988, 0.0, 1.0"
15371,21,"5.535637485414497, 5.430371481278371, 4.2, 1.0095440084835632"
15372,22,"9.370289148538234, 3.108081923246573, 0.0, 1.0"
7002,23,"3.6201092658599237, 6.852526219314086, 0.0, 1.0"
15373,23,"3.6201092658599237, 6.852526219314086, 0.0, 1.0"
11111,24,"5.179879481482544, 5.643405879590773, 4.0, 1.001122824527478"
11112,24,"6.076441347122, 5.832995988103448, 3.7, 1.001684236791217"
11113,24,"4.726393299554104, 6.534480207187244, 5.0, 1.000561412263739"
11114,24,"6.292623179834607, 5.619740023878876, 4.4, 1.008421183956085"
11115,24,"5.0858639131753876, 5.245085965121234, 4.5, 1.001122824527478"
7004,24,"4.726393299554104, 6.534480207187244, 5.0, 1.000561412263739"
11110,24,"6.3719701420967, 5.746685027839931, 0.0, 1.0"
7003,24,"6.4820721512714385, 5.6410209800842495, 0.0, 1.0"
15374,24,"4.726393299554104, 6.534480207187244, 5.0, 1.000561412263739"
15375,24,"3.6491299969629836, 5.900229387488707, 4.5, 1.0044912981099121"
11116,27,"5.129361060051394, 7.670780579706843, 3.5, 1.002245649054956"
5,27,"5.129361060051394, 7.670780579706843, 3.5, 1.002245649054956"
3215,27,"5.129361060051394, 7.670780579706843, 3.5, 1.002245649054956"
15376,27,"5.129361060051394, 7.670780579706843, 3.5, 1.002245649054956"
6,28,"5.567735562552912, 6.787804445325946, 4.7, 1.001684236791217"
7005,28,"5.567735562552912, 6.787804445325946, 4.7, 1.001684236791217"
11117,28,"5.567735562552912, 6.787804445325946, 4.7, 1.001684236791217"
3216,28,"5.567735562552912, 6.787804445325946, 4.7, 1.001684236791217"
15377,28,"5.567735562552912, 6.787804445325946, 4.7, 1.001684236791217"
15378,29,"4.1644910889821745, 6.963318986508966, 0.0, 1.0"
7007,30,"4.0240046033596855, 7.026369613911129, 0.0, 1.0"
7006,30,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
11120,30,"4.072750731262829, 7.093975832691058, 4.2, 1.00561412263739"
11119,30,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
11118,30,"4.33955110848251, 6.662129153032083, 4.0, 1.001122824527478"
8,30,"7.512915173505064, 5.176116012238708, 4.3, 1.005052710373651"
7,30,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
15379,30,"6.501872352668499, 5.6119165396910375, 4.5, 1.0235793150770383"
3217,30,"5.3700178060514645, 7.165260372650437, 3.5, 1.001122824527478"
15380,30,"6.996229464699525, 6.169834223457883, 0.0, 1.0"
15381,30,"6.0809411313395, 5.852605797723072, 3.9, 1.0398602707254694"
15382,30,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
3219,30,"4.838509278646882, 6.51552364909503, 5.0, 1.000561412263739"
3218,30,"6.410677493086894, 5.824232279564285, 4.1, 1.0151581311209532"
3220,30,"4.988457970365744, 5.24772840434116, 4.3, 1.103861268791716"
3221,32,"5.737318734715302, 8.18754505241668, 5.0, 1.001122824527478"
15383,33,"5.589440404072661, 5.309278760713369, 4.7, 1.0162809556484311"
3222,34,"5.284944264181604, 6.875233046187759, 4.2, 1.0218950782858212"
